pond,year,larv_density,large_prey,vert_pred_dens,invert_pred,water_temp,salinity,dist_to_breed,chlorophyll,turbidity,emergent_veg,depth,suitable_598_split,suitable_598,log_larv_dens,log_large_prey,vert_pred,log_invert_pred,log_water_temp,log_salinity,log_dist_to_breed,sqrt_chlorophyll,log_turbidity,sqr_emergent_veg,azolla
Calabasas,2023,0.095070423,13.70940171,0,0.102564103,16.3,0,102.82,103.8,3.577,85,82,883800,1260000,-0.999866518,1.13912529,0,-0.943123059,1.212187604,-1,2.0120776,10.1882285,0.660580912,9.219544457,1
Carneros 1,2023,0.133101852,11.82692308,0.192307692,0.432692308,15.7,0.4,58.77,162.4,8.194,98,152.4,544500,561600,-0.859925308,1.075312954,1,-0.352498809,1.195899652,-0.301029996,1.769155691,12.74362586,0.963504499,9.899494937,0
Carneros 2,2023,0.022970904,21.80555556,0,0.555555556,15.9,0.3,43.77,320.8,4.433,70,114.3,580500,597600,-1.553910079,1.33989291,0,-0.246429099,1.201397124,-0.397940009,1.641176547,17.91089054,0.735039705,8.366600265,0
Central,2023,0,44.25,0,0.15,18.5,0,566,3559,19.79,60,91.44,236700,310500,-2.304490568,1.646567087,0,-0.792019598,1.267171728,-1,2.752816431,59.65735495,1.317854489,7.745966692,0
Delaney,2023,0.169721656,6.114285714,0,0.152380952,15.7,0,371.5,353.3,44.12,60,110,974700,1012500,-0.757751911,0.791055398,0,-0.785660854,1.195899652,-1,2.569958818,18.79627623,1.654369091,7.745966692,0
Ellicott,2023,0,12.26285714,0,0.011428571,18,0.1,385,709.85,24.86,25,218,671400,840600,-2.304490568,1.090946304,0,-1.640978074,1.255272505,-0.698970004,2.58546073,26.64301034,1.412628521,5,1
Lower Cattail,2023,0.005399568,2.990196078,0,0.049019608,17.6,0.3,32.81,307.7,15.95,7,153,486000,615600,-1.984645065,0.485275939,0,-1.218616778,1.245512668,-0.397940009,1.51600623,17.54137965,1.229169703,2.645751311,0
Merk,2023,0,0.245098039,0,0.147058824,16.3,0,1594,204.9,34.42,20,137.2,693000,750600,-2.304490568,-0.506173052,0,-0.800005273,1.212187604,-1,3.202488317,14.31432849,1.549248557,4.472135955,0
Millsap 1,2023,0,0.090909091,0.272727273,0.181818182,13,0.1,72.98,325.9,16.25,90,106.7,744300,1125000,-2.304490568,-0.802510595,1,-0.713887795,1.113943352,-0.698970004,1.863203859,18.05270063,1.236789099,9.486832981,0
Millsap 2,2023,0.251396648,8.333333333,0.601851852,0.138888889,20,0.2,72.98,245.7,41.85,8,112,688500,1113300,-0.591154879,0.924279286,1,-0.822990571,1.301029996,-0.522878745,1.863203859,15.67482057,1.631950826,2.828427125,0
North County Parks,2023,0.055305203,13.89423077,0,0.048076923,17.7,0.2,970.85,308.1,21.41,35,152,338400,338400,-1.219931092,1.144913337,0,-1.225442935,1.247973266,-0.522878745,2.987152135,17.55277756,1.350441857,5.916079783,0
North Moro Cojo,2023,0,22.5862069,0.862068966,0.431034483,22.5,2.2,1318,1147,3.913,85,91.44,441900,441900,-2.304490568,1.355123301,1,-0.354122987,1.352182518,0.361727836,3.11991541,33.86738844,0.691346764,9.219544457,1
Oxbow,2023,0.005955926,1.057692308,0.048076923,0,12.9,0.3,125.7,332,62.44,90,121,732600,732600,-1.961926805,0.050904991,1,-1.942008069,1.11058971,-0.397940009,2.099335278,18.22086716,1.802363174,9.486832981,0
Pond N,2023,0.888157895,5.87962963,0,0.277777778,14.8,0.3,120,1248,50.61,35,137.2,675000,675000,-0.049091055,0.774246546,0,-0.538792177,1.170261715,-0.397940009,2.079181246,35.32704347,1.712733859,5.916079783,0
Pond O,2023,0.316686967,1.939655172,0.086206897,0,13.4,0.3,120,299.8,39.5,45,76.2,583200,588600,-0.492620111,0.302400601,1,-1.942008069,1.127104798,-0.397940009,2.079181246,17.31473361,1.607455023,6.708203932,0
Pond R,2023,1.398305085,7.669491525,0.508474576,1.355932203,16.3,0.3,133.4,1953,15.54,20,121.9,650700,652500,0.147139818,0.888525342,1,0.135883117,1.212187604,-0.397940009,2.12515583,44.19275959,1.218535505,4.472135955,0
Pond S,2023,1.41509434,7.783018868,0.283018868,0.70754717,16.1,0.3,133.4,465.5,9.197,65,106.7,579600,603900,0.15230506,0.894852259,1,-0.143285763,1.206825876,-0.397940009,2.12515583,21.57544901,1.008472419,8.062257748,0
Prospect,2023,0,51.2,0,1.885714286,19,0,377.2,253.2,9.382,7,219,639900,882900,-2.304490568,1.709835081,0,0.278100035,1.278753601,-1,2.576571684,15.91225942,1.016281025,2.645751311,1
Racehorse,2023,0.304,16.45,0.25,0.3,21.6,0.1,996,253,1.174,10,152.4,1108800,1111500,-0.510097298,1.217922404,1,-0.506641547,1.334453751,-0.698970004,2.998259338,15.90597372,0.33725954,3.16227766,0
Seascape 1,2023,0.222419929,4.5,0,0.153846154,13.1,0,347,244.9,52.64,85,106,615600,734400,-0.643247268,0.659599313,0,-0.781793557,1.117271296,-1,2.540329475,15.64928113,1.729488769,9.219544457,1
Seascape 2,2023,0.348837209,0.9,0,0.2,13.3,0,347,176,8.763,99,90,530100,662400,-0.451245208,-0.014723257,0,-0.674836326,1.123851641,-1,2.540329475,13.26649916,0.989583289,9.949874371,0
Seascape 3,2023,0.083732057,8.1,0,0,13.4,0,385.4,247.2,10.9,96,125,455400,910800,-1.05211372,0.91204483,0,-1.942008069,1.127104798,-1,2.58591171,15.72259521,1.075546961,9.797958971,0
Shadowmere,2023,0,0,0.93373494,0.060240964,13.5,0,820.7,234.7,42.68,17,183,1081800,1081800,-2.304490568,-1.176091257,1,-1.144665413,1.130333768,-1,2.914184433,15.31992167,1.64028263,4.123105626,0
South Moro Cojo,2023,0,2.85,0,0,16.4,0.3,970.85,201.4,13.58,65,76.2,732600,899100,-2.304490568,0.464886798,0,-1.942008069,1.214843848,-0.397940009,2.987152135,14.19154678,1.163757524,8.062257748,1
Suess,2023,0.406626506,2.136363636,0,0.090909091,16.7,0,102.82,141.3,13.86,85,76.2,648900,1007100,-0.385538538,0.343020471,0,-0.989964509,1.222716471,-1,2.0120776,11.88696765,1.172018809,9.219544457,0
Tucker,2023,0.132517839,1.886792453,0.235849057,1.698113208,16.6,0,1872,301.2,21.62,10,137.2,1097100,1120500,-0.861766302,0.290804327,1,0.232879719,1.220108088,-1,3.272305844,17.35511452,1.354492601,3.16227766,0
Upper Cattail,2023,0.071580064,3.55,0,0.1,14.4,0.2,32.81,273.1,2.818,70,152.4,396900,832500,-1.11610938,0.558308484,0,-0.953003439,1.158362492,-0.522878745,1.51600623,16.5257375,0.581835924,8.366600265,0
Valencia,2023,0.165447025,6.473282443,0,0.061068702,13.3,0.1,1068,210.5,1.251,90,152.4,37800,971100,-0.768511698,0.815574369,0,-1.139678329,1.123851641,-0.698970004,3.028571253,14.50861813,0.352375495,9.486832981,0
Visitor Center,2023,0,19.06862745,0,0.049019608,17.8,0.1,374.9,156.9,3.469,8,91.44,692100,756000,-2.304490568,1.281835142,0,-1.218616778,1.250420002,-0.698970004,2.57391544,12.52597302,0.650210355,2.828427125,0
Willow Canyon,2023,2.083333333,4.537037037,0,0.138888889,17.8,0,695,252.6,31.88,40,121.9,734400,739800,0.319791568,0.663107365,0,-0.822990571,1.250420002,-1,2.841984805,15.89339485,1.516931809,6.32455532,0
Zmudowski,2023,0,3.676470588,0.539215686,0,16.3,0.2,6093.6,255.1,10.35,35,152.4,305100,305100,-2.304490568,0.573235752,1,-1.942008069,1.212187604,-0.522878745,3.784873943,15.97185024,1.054995862,5.916079783,1
Buena Vista 1,2024,0.100624566,2.358490566,0,0.660377359,21.9,0,618.4,78.65,5.135,15,134.112,1070100,1070100,-0.976398257,0.384739901,0,-0.172756167,1.340444115,-1,2.791269481,8.868483523,0.787814567,3.872983346,0
Buena Vista 2,2024,1.25,19.86607143,0,0.267857143,22.4,0,618.4,60.17,2.599,5,184.404,827100,992700,0.098629993,1.29956696,0,-0.553951279,1.350248018,-1,2.791269481,7.756932383,0.556181847,2.236067977,0
Calabasas,2024,0.069332101,19.56730769,0,0,15.4,0,102.82,755.4,6.454,15,88.392,883800,1260000,-1.129055506,1.293008219,0,-1.942008069,1.187520721,-1,2.0120776,27.48454111,0.872389388,3.872983346,0
Carneros 1,2024,0.164473684,12.31132075,4.009433962,0,14.7,0.4,58.77,185,6.402,90,137.16,544500,561600,-0.770999434,1.092650037,1,-1.942008069,1.167317335,-0.301029996,1.769155691,13.60147051,0.869349081,9.486832981,0
Carneros 2,2024,0.084889643,27.5,6.203703704,0,17.5,0.4,43.77,953.8,5.232,45,111.76,580500,597600,-1.046482112,1.440384255,1,-1.942008069,1.243038049,-0.301029996,1.641176547,30.88365263,0.794627445,6.708203932,0
Central,2024,0,25.91346154,0,0.096153846,19.5,0,566,2260,13.45,90,81.28,236700,310500,-2.304490568,1.41464129,0,-0.968258703,1.290034611,-1,2.752816431,47.5394573,1.159867847,9.486832981,0
Delaney,2024,0.009578544,2.272727273,0,0.409090909,13.6,0,371.5,692,21.38,35,121.92,974700,1012500,-1.837469616,0.369103361,0,-0.376213881,1.133538908,-1,2.569958818,26.30589288,1.349860082,5.916079783,1
Ellicott,2024,0.176168339,14.95192308,0,1.057692308,16.9,0,385,198.1,3.556,85,158.496,671400,840600,-0.742012835,1.176629154,0,0.029026811,1.227886705,-1,2.58546073,14.07480018,0.658583715,9.219544457,1
Hix,2024,0,33.57142857,0,4.017857143,16.7,0.2,652,414.3,2.845,5,152.4,243900,797400,-2.304490568,1.526831396,0,0.605228064,1.222716471,-0.522878745,2.814247596,20.35436071,0.584896344,2.236067977,1
Howell,2024,0,2.450980392,0,0.245098039,15.6,1,684,483.3,2.126,40,152.4,197100,768600,-2.304490568,0.400994848,0,-0.590867578,1.193124598,0.041392685,2.835056102,21.98408515,0.494988974,6.32455532,1
Long Valley,2024,0.048283262,17.5,0,0,15.8,0.2,710,228.3,13.58,15,86.36,574200,643500,-1.273732759,1.244689361,0,-1.942008069,1.198657087,-0.522878745,2.851258349,15.1095996,1.163757524,3.872983346,1
Lower Cattail,2024,0,1.574074074,0,0.138888889,19.3,0.8,32.81,302,3.41,5,152.4,486000,615600,-2.304490568,0.215039962,0,-0.822990571,1.285557309,-0.045757491,1.51600623,17.3781472,0.64443859,2.236067977,0
Merk,2024,0,0.508474576,0.889830509,0.042372881,20,0.1,1594,172.1,24.18,5,152.4,693000,750600,-2.304490568,-0.240225488,1,-1.269206003,1.301029996,-0.698970004,3.202488317,13.11868896,1.401055726,2.236067977,1
Millsap 1,2024,0,0,1.05,0,12.9,0.1,72.98,914.8,30.52,95,152.4,744300,1125000,-2.304490568,-1.176091257,1,-1.942008069,1.11058971,-0.698970004,1.863203859,30.24566085,1.498586209,9.746794345,0
