pond,year,larv_density,med_prey,large_prey,vert_pred_dens,invert_pred,plankton,water_temp,DO,nitrates,pH,salinity,dist_to_breed,chlorophyll,turbidity,emergent_veg,conductivity,depth,suitable_598_split,suitable_598,log_larv_dens,log_med_prey,log_large_prey,vert_pred,log_invert_pred,log_plankton,log_water_temp,log_DO,log_nitrates,log_pH,log_salinity,log_dist_to_breed,sqrt_chlorophyll,log_turbidity,sqr_emergent_veg,azolla
Alexander,2023,0,8.3333333,19.21568627,0,0,200,15.1,0.1,27.8,6.85,0.1,640,207.4,2.035,12,242.5,228,827100,827100,-2.304490568,0.970036775,1.285160028,0,-1.942008069,2.303196057,1.178976947,-0.823908741,1.444044796,0.835690572,-0.698970004,2.806179974,14.40138882,0.366236124,3.464101615,1
Delaney,2023,0.169721656,70.2,6.114285714,0,0.152380952,4125.6,15.7,2.74,29.02,6.34,0,371.5,353.3,44.12,60,95.6,110,974700,1012500,-0.757751911,1.852479994,0.791055398,0,-0.785660854,3.615592374,1.195899652,0.445604203,1.462697408,0.802089258,-1,2.569958818,18.79627623,1.647470994,7.745966692,0
Buena Vista 2,2023,0.069767442,21,9.553571429,0,0.089285714,1099,19.9,12.5,30.03,8.72,0,618.4,115.2,4.747,20,145.4,173.7,827100,992700,-1.126518042,1.342422681,0.983185821,0,-0.996908926,3.041392685,1.298853076,1.098643726,1.477555332,0.940516485,-1,2.791269481,10.73312629,0.702085721,4.472135955,0
Seascape 3,2022,0.246478873,40,0.840163934,0,0,260,12.7,0.6,30.18,6.48,0,385.4,300.6,8.312,80,176.4,100,455400,910800,-0.599567031,1.612783857,-0.042473833,0,-1.942008069,2.416640507,1.103803721,-0.187086643,1.479719235,0.811575006,-1,2.58591171,17.33781993,0.934548948,8.94427191,0
Seascape 2,2022,0.065406977,16,4.467213115,0,0.12295082,337,12.4,1.13,30.75,6.1,0,347,176.9,5.06,95,145.3,106,530100,662400,-1.15262915,1.230448921,0.65647,0,-0.871667331,2.5289167,1.093421685,0.071882007,1.48784512,0.785329835,-1,2.540329475,13.30037593,0.728272598,9.746794345,0
Zmudowski,2024,0,39,3.653846154,0.16025641,0,819,16.8,0.4,30.91,6.86,0.3,6093.6,345.7,6.576,70,488.9,152.4,305100,305100,-2.304490568,1.602059991,0.570602806,1,-1.942008069,2.913813852,1.225309282,-0.346787486,1.490099005,0.836324116,-0.397940009,3.784873943,18.59300944,0.836640542,8.366600265,1
Seascape 1,2022,0.050432277,40,2.75,0,0,2845,13.7,1.18,31.7,6.2,0,347,229.5,15,90,136.9,53,615600,734400,-1.256548297,1.612783857,0.449735454,0,-1.942008069,3.454234896,1.136720567,0.089905111,1.501059262,0.79239169,-1,2.540329475,15.14925741,1.184379081,9.486832981,0
Buena Vista 2,2024,1.25,2.1875,19.86607143,0,0.267857143,404.6875,22.4,5.6,35.12,7.73,0,618.4,60.17,2.599,5,143.4,184.404,827100,992700,0.098629993,0.503450193,1.29956696,0,-0.553951279,2.608191626,1.350248018,0.752048448,1.545554507,0.888179494,-1,2.791269481,7.756932383,0.460597189,2.236067977,0
Valencia,2023,0.165447025,67.5,6.473282443,0,0.061068702,4002.75,13.3,2.32,35.9,6.99,0.1,1068,210.5,1.251,90,174.6,152.4,37800,971100,-0.768511698,1.835690571,0.815574369,0,-1.139678329,3.602466952,1.123851641,0.374748346,1.555094449,0.844477176,-0.698970004,3.028571253,14.50861813,0.187520721,9.486832981,0
Valencia,2021,0.762711864,31.531532,5.818181818,0,0,1126.126126,12.7,0.88,36.53,8.07,0,1068,314.1,2.15,50,151.3,40,37800,971100,-0.114824197,1.512304516,0.769735286,0,-1.942008069,3.051972517,1.103803721,-0.031517051,1.562649672,0.906873535,-1,3.028571253,17.72286659,0.3872118,7.071067812,1
Ellicott,2022,0.199134199,0,4.171428571,0.085714286,0,1944,18.4,6.1,36.9,6.9,0,385,1094,11.62,30,176.6,66,671400,840600,-0.690168665,0,0.627170712,1,-1.942008069,3.288919606,1.264817823,0.788875116,1.567026366,0.838849091,-1,2.58546073,33.07567082,1.075875295,5.477225575,0
Lower Cattail,2023,0.005399568,0,2.990196078,0,0.049019608,1760.714286,17.6,3.42,37.4,7.21,0.3,32.81,307.7,15.95,7,464.5,153,486000,615600,-1.984645065,0,0.485275939,0,-1.218616778,3.245935476,1.245512668,0.540329475,1.572871602,0.857935265,-0.397940009,1.51600623,17.54137965,1.210559282,2.645751311,0
Pond S,2022,0,3,53.97142857,0,1.314285714,3888,18.7,0.57,38.36,7.09,0.3,133.4,282.4,8.32,25,413,76,579600,603900,-2.304490568,0.602059991,1.732700032,0,0.122449936,3.589837943,1.271841607,-0.207608311,1.583878598,0.850646235,-0.397940009,2.12515583,16.80476123,0.934952708,5,0
Upper Cattail,2024,0.05599711,180,9.545454545,0,0.136363636,936,13.9,0.1,40.02,6.63,0.2,32.81,293.7,4.997,50,263.2,152.4,396900,832500,-1.214973373,2.257678575,0.982819239,0,-0.830348465,2.971739591,1.1430148,-0.823908741,1.602277084,0.821513528,-0.522878745,1.51600623,17.13767779,0.723127159,7.071067812,1
Oxbow,2022,0,0,0.428571429,0,0,23500,12.5,0.19,43.28,7.01,0.3,125.7,325.2,0,90,388.3,90,732600,732600,-2.304490568,0,-0.305185955,0,-1.942008069,4.371086342,1.096910013,-0.619788758,1.636287252,0.845718018,-0.397940009,2.099335278,18.03330253,-0.539102157,9.486832981,0
Howell,2023,0,25,5.4,0,0,555,17.7,0.61,43.8,6.86,0.5,684,419.1,0.289,35,818,NA,197100,768600,-2.304490568,1.414973348,0.737722593,0,-1.942008069,2.745074792,1.247973266,-0.180456065,1.641474111,0.836324116,-0.22184875,2.835056102,20.471932,-0.238072162,5.916079783,0
Millsap 2,2023,0.251396648,8,8.333333333,0.601851852,0.138888889,496,20,5.55,44.15,7.55,0.2,72.98,245.7,41.85,8,327.9,112,688500,1113300,-0.591154879,0.954242509,0.924279286,1,-0.822990571,2.696356389,1.301029996,0.748188027,1.644930708,0.877946952,-0.522878745,1.863203859,15.67482057,1.624684225,2.828427125,0
Pond N,2022,0.225733634,0,32.34285714,0,0.228571429,8778,14.4,2,44.72,7.06,0.3,120,425.1,25.45,30,464.2,76,675000,675000,-0.636963793,0,1.51067265,0,-0.619788758,3.943445049,1.158362492,0.311753861,1.650501795,0.848804701,-0.397940009,2.079181246,20.61795334,1.41059167,5.477225575,0
Pond R,2022,0,0,17.24696356,0,1.943319838,3880.5,17.6,1.33,46.72,6.97,0.3,133.4,397.4,45.95,15,487.4,100,650700,652500,-2.304490568,0,1.238388138,0,0.291090868,3.58899959,1.245512668,0.139879086,1.669502834,0.843232778,-0.397940009,2.12515583,19.93489403,1.665008433,3.872983346,0
Upper Cattail,2023,0.071580064,24.545,3.55,0,0.1,4626.818,14.4,1.8,51.2,7.11,0.2,32.81,273.1,2.818,70,255,152.4,396900,832500,-1.11610938,1.407305907,0.558308484,0,-0.953003439,3.665376271,1.158362492,0.267171728,1.709269961,0.851869601,-0.522878745,1.51600623,16.5257375,0.492341253,8.366600265,0
Buena Vista 1,2024,0.100624566,97.777778,2.358490566,0,0.660377359,675.2777778,21.9,0.66,53.52,6.3,0,618.4,78.65,5.135,15,103.1,134.112,1070100,1070100,-0.976398257,1.994659253,0.384739901,0,-0.172756167,2.830125117,1.340444115,-0.148741651,1.728516105,0.79934055,-1,2.791269481,8.868483523,0.734319681,3.872983346,0
Valencia,2022,0,25.85,2.364130435,0,0,578.1,12.6,0.38,65.23,6.57,0,1068,474.6,7.684,80,144,76,37800,971100,-2.304490568,1.42894429,0.38574871,0,-1.942008069,2.762753565,1.100370545,-0.366531544,1.814447379,0.81756537,-1,3.028571253,21.78531616,0.901621764,8.94427191,1
Merk,2024,0,14,0.508474576,0.889830509,0.042372881,1960,20,0.05,83.22,6.79,0.1,1594,172.1,24.18,5,229.6,152.4,693000,750600,-2.304490568,1.176091259,-0.240225488,1,-1.269206003,3.292477594,1.301029996,-1,1.920227711,0.831869774,-0.698970004,3.202488317,13.11868896,1.388616221,2.236067977,1
Delaney,2022,0,38,8.888888889,0,0,423,17.4,4.29,87.14,6.5,0,371.5,259.9,19.09,20,145,122,974700,1012500,-2.304490568,1.591064607,0.952092532,0,-1.942008069,2.627365857,1.240549248,0.63748973,1.940217556,0.812913357,-1,2.569958818,16.12141433,1.287331363,4.472135955,0
Visitor Center,2023,0,0,19.06862745,0,0.049019608,244,17.8,9.39,99.6,7.88,0.1,374.9,156.9,3.469,8,201.6,91.44,692100,756000,-2.304490568,0,1.281835142,0,-1.218616778,2.389166084,1.250420002,0.974971994,1.998259338,0.896526218,-0.698970004,2.57391544,12.52597302,0.574956776,2.828427125,0
Calabasas,2024,0.069332101,0,19.56730769,0,0,1152,15.4,4.98,123.97,6.47,0,102.82,755.4,6.454,15,140.8,88.392,883800,1260000,-1.129055506,0,1.293008219,0,-1.942008069,3.061829307,1.187520721,0.701567985,2.093316601,0.810904281,-1,2.0120776,27.48454111,0.82885316,3.872983346,0
Hix,2023,0,18,12.5,0,0.384615385,1089,18.3,2.33,128.64,7.46,0.2,652,272.3,6.19,3,391.5,NA,243900,797400,-2.304490568,1.278753601,1.099220095,0,-0.40225661,3.037426498,1.26245109,0.376576957,2.109376031,0.872738828,-0.522878745,2.814247596,16.50151508,0.81150798,1.732050808,0
Prospect,2024,0.070082165,38.5,33.1557377,0,0.614754098,13366.5,19.2,2,207.6,6.89,0,377.2,283.1,8.121,30,166.3,158.496,639900,882900,-1.12469281,1.596597096,1.52143106,0,-0.203298957,4.126050193,1.283301229,0.311753861,2.317227349,0.838219222,-1,2.576571684,16.82557577,0.924795996,5.477225575,0
Suess,2024,0.010775862,NA,2.216981132,0,0,NA,12.9,1.72,232.36,6.55,0,102.82,152.4,8.678,60,135.7,76.2,648900,1007100,-1.803100713,NA,0.358629125,0,-1.942008069,NA,1.11058971,0.247973266,2.366161368,0.8162413,-1,2.0120776,12.34503949,0.95264717,7.745966692,0
Ellicott,2024,0.176168339,44,14.95192308,0,1.057692308,2214,16.9,1.06,250,6.23,0,385,198.1,3.556,85,108.7,158.496,671400,840600,-0.742012835,1.653212514,1.176629154,0,0.029026811,3.345373731,1.227886705,0.045322979,2.397940009,0.794488047,-1,2.58546073,14.07480018,0.584896344,9.219544457,1
Millsap 2,2024,0,205.33333,11.55660377,0.141509434,0.377358491,2176.166667,18.5,4.01,250,7.25,0.2,72.98,152.6,29.35,15,310,94.488,688500,1113300,-2.304490568,2.314569387,1.065328343,1,-0.410288196,3.337891677,1.267171728,0.608526034,2.397940009,0.860338007,-0.522878745,1.863203859,12.35313725,1.471863547,3.872983346,1
Delaney,2024,0.009578544,51,2.272727273,0,0.409090909,8838,13.6,0.7,278.62,5.85,0,371.5,692,21.38,35,103.5,121.92,974700,1012500,-1.837469616,1.716003344,0.369103361,0,-0.376213881,3.946403134,1.133538908,-0.124938737,2.445012288,0.767155866,-1,2.569958818,26.30589288,1.33583887,5.916079783,1
Millsap 1,2024,0,NA,0,1.05,0,NA,12.9,3.96,280,8.79,0.1,72.98,914.8,30.52,95,207.6,152.4,744300,1125000,-2.304490568,NA,-1.176091257,1,-1.942008069,NA,1.11058971,0.603144373,2.447158031,0.943988875,-0.698970004,1.863203859,30.24566085,1.488677602,9.746794345,0
South Moro Cojo,2022,0.004960317,21,6.428571429,0.414285714,0.114285714,669,21.9,3.96,1281,7.22,0.7,970.85,407.8,9.25,80,1263,30,732600,899100,-2.003460572,1.342422681,0.812595076,1,-0.90061537,2.826074803,1.340444115,0.603144373,3.10754913,0.858537198,-0.096910013,2.987152135,20.19405853,0.979502849,8.94427191,0
Howell,2021,0,0,3.685714286,0,0.028571429,0,23.2,NA,NA,NA,10,684,1096,24.59,1,NA,50,197100,768600,-2.304490568,0,0.574306923,0,-1.397940009,0,1.365487985,NA,NA,NA,1.004321374,2.835056102,33.10589071,1.39583292,1,0
Millsap 2,2021,0,NA,NA,NA,NA,NA,22.5,NA,NA,7.98,3.4,72.98,421.2,0,0,610,6,688500,1113300,-2.304490568,NA,NA,NA,NA,NA,1.352182518,NA,NA,0.902002891,0.544068044,1.863203859,20.52315765,-0.539102157,0,0
Central,2022,0,NA,6.25,0,0,NA,22.8,NA,NA,NA,0.2,566,6348,95.42,5,NA,10,236700,310500,-2.304490568,NA,0.80048796,0,-1.942008069,NA,1.357934847,NA,NA,NA,-0.522878745,2.752816431,79.67433715,1.980952779,2.236067977,0
Howell,2022,0,1,4.342857143,0,0.038095238,16,24.4,NA,NA,NA,10,684,1061,8.1,10,NA,NA,197100,768600,-2.304490568,0.301029996,0.644391692,0,-1.30518596,1.230448921,1.387389826,NA,NA,NA,1.004321374,2.835056102,32.57299495,0.923710194,3.16227766,0
Lower Cattail,2022,0,0,2.185714286,0,0,212,26.2,NA,NA,NA,10,32.81,NA,43.43,NA,NA,61,486000,615600,-2.304490568,0,0.352641846,0,-1.942008069,2.328379603,1.418301291,NA,NA,NA,1.004321374,1.51600623,NA,1.64067022,NA,0
Swimming Pool,2022,0,48.888889,46.25,0,2.5,240,15.2,NA,NA,NA,3.4,477.5,263.6,25.14,60,NA,76,516600,602100,-2.304490568,1.698003833,1.665737296,0,0.399920831,2.382017043,1.181843588,NA,NA,NA,0.544068044,2.678973376,16.23576299,1.405329282,7.745966692,0
Caltrans 1,2023,0,220,5.618181818,0.018181818,0.036363636,53560,17,NA,NA,NA,10,371.52,5229,72.3,NA,NA,30.48,,,-2.304490568,2.344392274,0.754718894,1,-1.320642914,4.728848677,1.230448921,NA,NA,NA,1.004321374,2.569982198,72.31182476,1.860870814,NA,0
Caltrans 2,2023,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,421.5,8764,96.7,NA,NA,30.48,,,-2.304490568,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.004321374,2.624797579,93.61623791,1.986722482,NA,0
Caltrans 3,2023,0,NA,NA,NA,NA,NA,16.7,NA,NA,NA,10,514.57,4203,79.5,NA,NA,30.48,,,-2.304490568,NA,NA,NA,NA,NA,1.222716471,NA,NA,NA,1.004321374,2.711444463,64.83054835,1.901943022,NA,0
Caltrans 4,2023,0,NA,NA,NA,NA,NA,16.1,NA,NA,NA,9,546.21,9733,45.46,NA,NA,30.48,,,-2.304490568,NA,NA,NA,NA,NA,1.206825876,NA,NA,NA,0.959041392,2.737359647,98.65596789,1.660381606,NA,0
Caltrans 5,2023,0,18,15.24509804,0.049019608,0.098039216,31518,15.3,NA,NA,NA,1.6,586,1285,70.46,95,NA,NA,,,-2.304490568,1.278753601,1.185025247,1,-0.960713662,4.49857243,1.184691431,NA,NA,NA,0.230448921,2.767897616,35.84689666,1.849720306,9.746794345,0
North Moro Cojo,2023,0,9,22.5862069,0.862068966,0.431034483,1944,22.5,NA,NA,NA,2.2,1318,1147,3.913,85,NA,91.44,441900,441900,-2.304490568,1,1.355123301,1,-0.354122987,3.288919606,1.352182518,NA,NA,NA,0.361727836,3.11991541,33.86738844,0.623456048,9.219544457,1
Swimming Pool,2023,0,0,2.971698113,0,1.226415094,1810,17.4,NA,NA,NA,1.2,477.5,302.7,2.295,55,NA,NA,516600,602100,-2.304490568,0,0.482639913,0,0.092665798,3.25791845,1.240549248,NA,NA,NA,0.113943352,2.678973376,17.39827578,0.412292509,7.416198487,0
Howell,2024,0,0,2.450980392,0,0.245098039,3913,15.6,NA,NA,NA,1,684,483.3,2.126,40,NA,152.4,197100,768600,-2.304490568,0,0.400994848,0,-0.590867578,3.592620821,1.193124598,NA,NA,NA,0.041392685,2.835056102,21.98408515,0.382917135,6.32455532,1
Lower Cattail,2024,0,24.888889,1.574074074,0,0.138888889,283.1111111,19.3,NA,NA,NA,0.8,32.81,302,3.41,5,NA,152.4,486000,615600,-2.304490568,1.413113413,0.215039962,0,-0.822990571,2.453488219,1.285557309,NA,NA,NA,-0.045757491,1.51600623,17.3781472,0.568084331,2.236067977,0
North Moro Cojo,2024,0,0,12.00980392,0.441176471,0.049019608,945,19.8,NA,NA,NA,1.9,1318,841.2,21.29,50,NA,60.96,441900,441900,-2.304490568,0,1.081940028,1,-1.218616778,2.975891136,1.29666519,NA,NA,NA,0.301029996,3.11991541,29.00344807,1.334031315,7.071067812,0
Swimming Pool,2024,0,186.83333,21.95,0,1.45,509.8333333,19.1,NA,NA,NA,1,477.5,324.1,2.093,80,NA,91.44,516600,602100,-2.304490568,2.273772658,1.342751567,0,0.164777594,2.708279228,1.281033367,NA,NA,NA,0.041392685,2.678973376,18.00277756,0.376941757,8.94427191,1
